NtsbCaseNumber,EventType,EventDate,AircraftDamage,ProbableCause,Latitude,Longitude,char_count,word_count,Category,Country,CountryCode,State
LAX01FA003,Accident,2000-10-04 10:31:00.000000 +00:00,Substantial,the pilot's loss of airplane control due to spatial disorientation.  A related factor was the low ceiling.,38.513053,-122.86222,106,17,Pilot Error,US,US,CA
ERA11CA087,Accident,2010-12-11 16:30:00.000000 +00:00,Substantial,The pilot's loss of control during an intentional aerobatic maneuver (spin) resulting in a collision with trees.,39.552223,-76.195556,112,17,Pilot Error,US,US,MD
NYC92FA103,Accident,1992-06-09 10:10:00.000000 +00:00,Substantial,THE PILOT'S FAILURE TO REFUEL RESULTING IN FUEL EXHAUSTION AND SUBSEQUENT FORCED LANDING IN TREES.,41.09061,-78.880142,98,15,Pilot Error,US,US,PA
WPR15GA005,Accident,2014-10-07 16:23:00.000000 +00:00,Substantial,The pilot's failure to maintain clearance from trees while maneuvering at a low altitude.,37.689998,-119.736663,89,14,Pilot Error,US,US,CA
NYC91LA251,Accident,1991-09-29 15:20:00.000000 +00:00,Substantial,"THE PILOT FAILED TO MAINTAIN DIRECTIONAL CONTROL OF THE AIRPLANE, RESULTING IN THE AIRPLANE DRIFTING TO THE LEFT OF THE RUNWAY AND IMPACTING WITH A WINDSOCK POLE.  CONTRIBUTING FACTORS IN THE ACCIDENT WERE THE PILOT'S INADEQUATE COMPENSATION FOR A CROSSWIND AND HIS TOTAL LACK OF FLYING EXPERIENCE.",40.140052,-75.259307,298,47,Pilot Error,US,US,PA
WPR13LA003,Accident,2012-10-03 13:40:00.000000 +00:00,Substantial,"The pilot's failure to maintain sufficient rotor rpm during a precautionary landing, which resulted in a hard landing.",48.918609,-121.352775,118,18,Pilot Error,CA,CA,WA
GAA16CA183,Accident,2016-04-09 15:30:00.000000 +00:00,Substantial,"A loss of directional control during the takeoff roll in gusting wind conditions, which resulted in a runway excursion, a nose over, and an impact with terrain. Contributing to the accident was the pilot's decision to takeoff in gusting crosswind conditions.",35.634445,-76.75389,258,41,Pilot Error,US,US,NC
WPR24LA286,Accident,2024-08-23 10:50:00.000000 +00:00,Substantial,"The pilot’s loss of directional control in reduced visibility conditions due to a wind gust, which resulted in a collision with a trailer.",44.208109,-114.93473,138,23,Pilot Error,US,US,ID
CHI00LA049,Accident,1999-12-17 14:00:00.000000 +00:00,Substantial,the pilot's failure to maintain control of the helicopter. Factors associated with the accident were the gusty tailwind condition and the low altitude at which the helicopter was hovering.,38.289325,-85.969139,188,29,Pilot Error,US,US,IN
DEN04CA054,Accident,2004-03-21 13:00:00.000000 +00:00,Substantial,the pilot's improper in-flight planning/decision and his failure to verify the landing gear position.  Factors contributing to the accident  were the pilot's diverted attention due to the electrical failure.,39.908332,-105.116668,207,29,Pilot Error,US,US,CO
DFW06CA153,Accident,2006-06-02 15:30:00.000000 +00:00,Substantial,The pilot's improper landing flare resulting in a hard landing and his improper recovery procedures for a bounced landing.,34.545276,-94.202774,122,19,Pilot Error,US,US,AR
MIA90LA186,Accident,1990-09-22 10:25:00.000000 +00:00,Substantial,"THE FAILURE OF THE PILOT TO INITIATE A GO-AROUND DUE TO BEING HIGH ON FINAL APPROACH AND AS A RESULT, FAILURE TO ATTAIN THE CORRECT POINT OF TOUCHDOWN AND HIS EXCESSIVE APPLICATION OF BRAKES WHICH RESULTED IN FAILURE OF THE RIGHT MAIN TIRE AND LOSS OF DIRECTIONAL CONTROL.",26.229642,-80.130714,272,48,Pilot Error,US,US,FL
LAX01FA302,Accident,2001-09-09 20:11:00.000000 +00:00,Substantial,"The loss of right engine power for undetermined reasons, and the pilot's failure to maintain control of the aircraft due to his improper single engine emergency procedures.",39.784168,-121.848892,172,27,Pilot Error,US,US,CA
CHI97LA214,Accident,1997-07-16 09:45:00.000000 +00:00,Substantial,the improper flare performed by the student and the inadequate recovery from the bounced landing.  A factor related to the accident was the student lack of experience.,41.010074,-92.40921,167,27,Pilot Error,US,US,IA
CHI98LA198,Accident,1998-06-10 12:00:00.000000 +00:00,Destroyed,the pilot's failure to maintain clearance with the wire.  A factor associated with the accident was the wire which the helicopter contacted.,44.379184,-93.729118,140,22,Pilot Error,US,US,MN
GAA19CA407,Accident,2019-07-03 18:00:00.000000 +00:00,Substantial,"The pilot's failure to maintain the proper airspeed and his exceedance of the airplane's critical angle of attack during a low-altitude climbing turn, which resulted in an aerodynamic stall.",44.43861,-69.26667,190,29,Pilot Error,US,US,ME
SEA90LA127,Accident,1990-07-11 16:00:00.000000 +00:00,Substantial,LOSS OF ENGINE POWER DUE TO FUEL STARVATION. THE CAUSE OF THE ACCIDENT WAS THE PILOT DISPLAYED POOR INFLIGHT PLANNING BY NOT ADEQUATELY FOLLOWING PROCEDURES OR DIRECTIVES ASSOCIATED WITH FUEL CONSUMPTION.,47.430496,-122.110855,204,31,Pilot Error,US,US,WA
SEA91LA197,Accident,1991-07-31 11:05:00.000000 +00:00,Destroyed,FAILURE OF THE PILOT TO REFUEL RESULTING IN FUEL EXHAUSTION.,45.58086,-122.910041,60,10,Pilot Error,US,US,OR
ANC03LA111,Accident,2003-09-07 20:10:00.000000 +00:00,Substantial,"The pilot's failure to maintain airspeed, which resulted in an inadvertent stall, and subsequent in-flight collision with terrain.  A factor associated with the accident was a downdraft.",61.716667,-152.78334,186,27,Pilot Error,US,US,AK
CEN14CA275,Accident,2014-05-28 20:27:00.000000 +00:00,Substantial,The pilot's failure to maintain aircraft control following a loss of engine power during takeoff. Contributing was the pilot's inadequate fuel management that led to fuel starvation/exhaustion and the loss of engine power.,35.950607,-95.380905,222,33,Pilot Error,US,US,OK
SEA94LA243,Accident,1994-09-17 17:15:00.000000 +00:00,Substantial,THE PILOT'S IMPROPER LANDING FLARE.,48.60968,-122.879974,35,5,Pilot Error,US,US,WA
WPR09LA422,Accident,2009-08-27 07:30:00.000000 +00:00,Substantial,"A total loss of engine power due to the displaced oil filter adapter gasket, which resulted in an oil leak and oil exhaustion. Contributing to the accident was the unsuitable terrain for a forced landing.",34.22945,-110.070693,204,35,Mechanical Failure,US,US,AZ
ANC92LA057,Accident,1992-04-02 11:15:00.000000 +00:00,Substantial,THE PILOT'S FAILURE TO REMOVE ALL THE FROST FROM THE AIRPLANE AND EXCEEDING THE GROSS WEIGHT LIMIT OF THE AIRPLANE.,67.240516,-161.189025,115,20,Pilot Error,US,US,AK
LAX91LA411,Accident,1991-09-27 15:15:00.000000 +00:00,Destroyed,THE STUDENT PILOT'S IMPROPER USE OF THE FLIGHT CONTROLS.,38.179561,-121.729095,56,9,Pilot Error,US,US,CA
CHI97LA104,Accident,1997-04-15 10:15:00.000000 +00:00,Destroyed,the loss of engine power followed by an engine fire for reason or reasons undetermined.,37.729457,-88.54042,87,15,Mechanical Failure,US,US,IL
WPR09CA304,Accident,2009-06-21 15:00:00.000000 +00:00,Substantial,The pilot's improper landing flare and recovery from a bounced landing.,43.877498,-116.536941,71,11,Pilot Error,US,US,ID
ATL93LA088,Accident,1993-05-06 08:30:00.000000 +00:00,Substantial,"THE PILOT'S FAILURE TO DETERMINE THE LANDING DISTANCE REQUIRED FOR A LANDING ON A WET SOD RUNWAY, WHICH RESULTED IN THE OVERRUN OF THE LANDING AREA AND THE COLLISION WITH A TREE",33.840843,-81.659927,177,32,Pilot Error,US,US,SC
DEN07FA008,Accident,2006-10-11 18:27:00.000000 +00:00,Substantial,"A fractured nose gear assembly spray deflector that blocked the nose gear from extending during landing, and resulted in an intentional nose gear up landing.",39.861667,-104.673057,157,25,Mechanical Failure,US,US,CO
LAX94LA098,Accident,1994-01-18 16:55:00.000000 +00:00,Substantial,THE PILOT'S INTENTIONAL DECISION TO ABANDON THE AIRPLANE AND ALLOW IT TO FLY UNATTENDED.,33.170722,-116.270141,88,14,Pilot Error,US,US,CA
LAX97LA303,Accident,1996-11-14 06:05:00.000000 +00:00,Substantial,was the pilot's intentional flight into marginal meteorological conditions in mountainous terrain during dark nighttime conditions.,41.310482,-122.319808,131,16,Pilot Error,US,US,CA
CHI07CA293,Accident,2007-08-31 11:30:00.000000 +00:00,Substantial,The pilot's improper flare and his inadequate recovery from the bounced landing.  A contributing factor was the lower than normal airspeed maintained during the final approach.,39.530834,-84.395278,176,26,Pilot Error,US,US,OH
SEA96LA015,Accident,1995-11-12 11:55:00.000000 +00:00,Substantial,THE PILOT FELL ASLEEP.,47.690448,-119.879837,22,4,Pilot Error,US,US,WA
IAD04CA015,Accident,2004-04-09 19:23:00.000000 +00:00,Substantial,The pilot's inadequate remedial action to wake turbulence.  A factor was the pilot's failure to recognize that the takeoff conditions were conducive to wake turbulence.,38.036945,-84.605278,168,25,Pilot Error,US,US,KY
LAX06LA166,Accident,2006-05-08 12:30:00.000000 +00:00,Substantial,The collapse of the left main gear for undetermined reasons.  A factor was the pilot's inadequate remedial action in response to the left main gear not locked warning light by not attempting to manually extend the gear to ensure it was fully down and locked.,32.815555,-117.14389,258,45,Pilot Error,US,US,CA
BFO91LA050,Accident,1991-05-25 18:29:00.000000 +00:00,Substantial,AN INADEQUATE PREFLIGHT INSPECTION WHICH RESULTED IN WATER CONTAMINATED FUEL.  CONTRIBUTING WAS NONCOMPLIANCE WITH AN AIRWORTHINESS DIRECTIVE.,36.579216,-79.400611,142,17,Maintenance / Inspection Issues,US,US,VA
SEA05LA076,Accident,2005-04-16 17:55:00.000000 +00:00,Substantial,An engine power interruption during takeoff for undetermined reasons.,28,-82.164169,69,9,Other,US,US,FL
CHI07CA209,Accident,2007-07-15 10:30:00.000000 +00:00,Substantial,The pilot's poor in-flight planning and failure to maintain control of the airplane when he encountered his own vortex turbulence at a low altitude.,48.166667,-102.916664,148,24,Pilot Error,US,US,ND
CHI95LA051,Accident,1994-12-03 14:30:00.000000 +00:00,Substantial,"The pilot's failure to maintain control of the airplane, resulting in a stall-spin.  Factors were an inadequate preflight and the loss of engine power resulting from water contamination in the automotive fuel.",40.910743,-96.79074,209,32,Pilot Error,US,US,NE
WPR20LA190,Accident,2020-06-23 09:35:00.000000 +00:00,Substantial,A total loss of engine power for reasons that could not be determined based on the available information.,36.11861,-115.331108,105,18,Other,US,US,NV
CHI92DCQ04,Accident,1992-06-23 12:15:00.000000 +00:00,Substantial,FAILURE OF THE PILOT IN COMMAND TO LEVEL OFF WHILE PERFORMING AERIAL APPLICATION.,39.830093,-99.890869,81,13,Pilot Error,US,US,KS
LAX05CA235,Accident,2005-07-14 14:50:00.000000 +00:00,Substantial,"the pilot's failure to verify the current local wind condition that resulted in his selection of the wrong runway and an inadvertent downwind landing, a runway overrun and a ground collision with objects.  A factor in the accident was the short runway and its dirt surface, which reduced brake effectiveness.",34.17472,-116.066947,308,50,Pilot Error,US,US,CA
ANC90LA144,Accident,1990-08-13 16:39:00.000000 +00:00,Substantial,THE PILOT IN COMMAND'S SELECTION OF THE WRONG RUNWAY FOR WIND CONDITIONS AND HIS FAILURE TO ABORT LANDING IN A TIMELY MANNER RESULTING IN OVERRUN OF THE RUNWAY AND ON GROUND COLLISION WITH TERRAIN.,60.049339,-149.329788,197,34,Pilot Error,US,US,AK
ERA09LA198,Accident,2009-03-14 10:02:00.000000 +00:00,Substantial,The pilot's failure to maintain directional control of the gyrocopter while taxiing for takeoff.,27.266387,-80.85028,96,14,Pilot Error,US,US,FL
CEN13CA207,Accident,2013-03-26 19:00:00.000000 +00:00,Substantial,The student pilot inadvertently switching the fuel selector to the OFF position and the flight instructor's failure to monitor the student pilot's actions.,30.915555,-102.916114,155,23,Pilot Error,US,US,TX
CEN09CA184,Accident,2009-03-02 16:30:00.000000 +00:00,Substantial,The pilot's loss of control during take off. Contributing to the accident was the crosswind component.,29.806943,-98.422225,102,16,Pilot Error,US,US,TX
GAA19CA003,Accident,2018-10-01 10:15:00.000000 +00:00,Substantial,The pilot’s failure to maintain clearance from a vehicle while taxiing for departure.,40.185001,-74.122222,85,13,Pilot Error,US,US,NJ
WPR12CA381,Accident,2012-08-31 09:30:00.000000 +00:00,Substantial,The pilot's failure to maintain directional control during the takeoff roll.,40.990833,-118.961944,76,11,Pilot Error,US,US,NV
ANC06LA022,Accident,2006-03-05 15:00:00.000000 +00:00,Substantial,"The student pilot's failure to maintain directional control during takeoff, which resulted in an on ground collision with a sign, and the collapse of the main landing gear.",32.816665,-116.966667,172,28,Pilot Error,US,US,CA
DCA18IA264,Incident,2018-08-10 06:40:00.000000 +00:00,"None,Destroyed","the drone pilot's decision to fly without pre-coordination, and without the requisite skills and knowledge, to maneuver the drone in close proximity to another aircraft.",43.742778,-111.096664,169,25,Pilot Error,US,US,ID
WPR19LA003,Accident,2018-10-08 11:00:00.000000 +00:00,Substantial,A loss of engine power due to fuel starvation and the pilot's mismanagement of the available fuel.,39.23722,-121.111114,98,17,Pilot Error,US,US,CA
ANC98LA119,Accident,1998-08-09 12:00:00.000000 +00:00,Substantial,The pilot's selection of an unsuitable off-airport landing site.  A factor associated with the accident is rough and uneven terrain.,61.680812,-145.139923,132,20,Pilot Error,US,US,AK
ATL89LA135,Accident,1989-04-22 15:30:00.000000 +00:00,Substantial,"CLIMB NOT POSSIBLE BECAUSE OF A DOWNDRAFT WHICH EXCEEDED THE PERFORMANCE CAPABILITIES OF THE AIRPLANE. FACTORS RELATED TO THE ACCIDENT WERE: INADEQUATE LOCATION OF THE WIND SOCK, THE ADVERSE WIND CONDITIONS, AND THE TREES.",33.290931,-84.279228,222,34,Weather / Environmental Factors,US,US,GA
DEN01LA001,Accident,2000-10-01 17:27:00.000000 +00:00,Substantial,The pilot's failure to maintain a proper descent rate during landing flare/touchdown.  A factor was the tail wheel failure due to overload.,41.149333,-111.980186,139,22,Pilot Error,US,US,UT
ANC95LA130,Accident,1995-08-04 18:00:00.000000 +00:00,Substantial,THE PILOT'S INADEQUATE PREFLIGHT PREPARATION AND THE WATER IN THE AIRPLANE'S FUEL SYSTEM.  A FACTOR IN THE ACCIDENT WAS THE ROUGH WATER IN THE FORCED LANDING AREA.,55.610462,-131.580017,163,27,Pilot Error,US,US,AK
CEN18FA140,Accident,2018-04-15 21:00:00.000000 +00:00,Substantial,An in-flight impact with terrain for reasons that could not be determined due to a lack of evidence.,34.608333,-102.866111,100,18,Other,US,US,TX
ANC03IA037,Incident,2003-02-28 18:10:00.000000 +00:00,Minor,The separation of the main landing gear spring strut during landing touchdown due to corrosion and fatigue.  Factors contributing to the accident were the manufacturer's and the FAA's insufficient standards/requirements for inspection procedures.,59.75,-150.75,246,33,Maintenance / Inspection Issues,US,US,AK
CHI97LA289,Accident,1997-09-07 18:00:00.000000 +00:00,Substantial,"the pilot's fixation on the end of the runway, his failure to place the airplane in an attitude to land (flare) which resulted in a hard landing, and the pilot's failure to recover from the subsequent bounced landing.",45.849819,-87.020393,217,38,Pilot Error,US,US,MI
WPR16LA080,Accident,2016-03-05 14:46:00.000000 +00:00,Substantial,A loss of control for reasons that could not be determined because postaccident examination did not reveal any anomalies that would have precluded normal operation. Contributing to the accident was the noncertificated pilot’s lack of experience in the aircraft type.,33.271667,-111.573608,266,40,Pilot Error,US,US,AZ
ERA11FA074,Accident,2010-11-29 19:45:00.000000 +00:00,Substantial,The pilot's failure to maintain aircraft control while maneuvering at night in deteriorating weather conditions due to spatial disorientation. Contributing to the accident was the pilot's failure to obtain a weather briefing.,30.555833,-88.297775,225,32,Pilot Error,US,US,AL
CEN17LA036,Accident,2016-11-06 13:22:00.000000 +00:00,Substantial,"The pilot’s improper fuel management before landing, which resulted in fuel starvation and the subsequent total loss of engine power during a subsequent go-around when the fuel became unported during the climbing turn.",29.889999,-97.858612,218,33,Pilot Error,US,US,TX
CEN19LA275,Accident,2019-08-15 17:00:00.000000 +00:00,Substantial,"The loss of engine power following an increase in oil temperature for undetermined reasons during cruise flight, which resulted in a forced landing on unsuitable terrain.",26.380556,-98.816947,170,26,Mechanical Failure,US,US,TX
CEN11FA465,Accident,2011-07-08 17:00:00.000000 +00:00,Substantial,"The pilot’s loss of control during the off-airport landing in strong winds, which resulted in a hard landing.",37.502498,-107.814163,109,18,Pilot Error,US,US,CO
MIA89LA168,Accident,1989-06-04 10:43:00.000000 +00:00,Substantial,"FAILURE OF A #2 CONNECTING ROD ASSEMBLY, WHICH RESULTED IN SEPARATION OF THE #2 CYLINDER AND SUBSEQUENT LOSS OF ENGINE POWER.  CONTRIBUTING FACTORS WERE: INADEQUATE MAINTENANCE, THE TRANSMISSION (POWER) LINE, AND TREES.",30.379022,-89.099639,219,32,Maintenance / Inspection Issues,US,US,MS
GAA17CA455,Accident,2017-07-28 15:30:00.000000 +00:00,Substantial,"The student pilot’s improper landing flare, which resulted in bounced landing and the collapse of the nose landing gear.",33.18111,-96.588607,120,19,Pilot Error,US,US,TX
LAX91LA115,Accident,1991-03-02 12:48:00.000000 +00:00,Substantial,FAILURE OF THE PIC TO ENSURE THAT THE FUEL SYSTEM WAS FREE OF WATER PRIOR TO FLIGHT.  CONTRIBUTING TO THE ACCIDENT WAS THE INADEQUATE COMPLIANCE WITH AIRWORTHINESS DIRECTIVES BY MAINTENANCE PERSONNEL TO PRECLUDE WATER FROM ENTERING THE FUEL SYSTEM.,34.249946,-118.410789,248,39,Maintenance / Inspection Issues,US,US,CA
CEN24LA084,Accident,2024-01-07 12:18:00.000000 +00:00,Substantial,"The student pilot’s failure to maintain control of the airplane during the crosswind landing, which resulted in the airplane drifting off the left side of the runway and into trees.",37.654083,-93.087,181,30,Pilot Error,US,US,MO
